emoji,en,clean_en,zh-TW,zh
🥇,:1st_place_medal:,1st place medal,第一名獎牌,:金牌:
🥈,:2nd_place_medal:,2nd place medal,第二名獎牌,:银牌:
🥉,:3rd_place_medal:,3rd place medal,第三名獎牌,:铜牌:
🅰,:A_button_(blood_type):,A button (blood type),A鈕（血型）,:A型血:
♈,:Aries:,Aries,白羊座,:白羊座:
♋,:Cancer:,Cancer,癌症,:巨蟹座:
🎄,:Christmas_tree:,Christmas tree,聖誕樹,:圣诞树:
🇨🇷,:Costa_Rica:,Costa Rica,哥斯達黎加,:哥斯达黎加:
🔚,:END_arrow:,END arrow,結束箭頭,:结束箭头:
🆓,:FREE_button:,FREE button,免費按鈕,:FREE按钮:
🇫🇷,:France:,France,法國,:法国:
🇬🇺,:Guam:,Guam,關島,:关岛:
🇮🇩,:Indonesia:,Indonesia,印度尼西亞,:印度尼西亞:
🇮🇹,:Italy:,Italy,意大利,:意大利:
🇯🇵,:Japan:,Japan,日本,:日本:
🉑,:Japanese_acceptable_button:,Japanese acceptable button,日本可接受的按鈕,:可:
🉐,:Japanese_bargain_button:,Japanese bargain button,日本討價還價按鈕,:得:
🏯,:Japanese_castle:,Japanese castle,日本城堡,:日本城堡:
㊗️,:Japanese_congratulations_button:,Japanese congratulations button,日本的祝賀按鈕,:祝:
㊗,:Japanese_congratulations_button:,Japanese congratulations button,日本的祝賀按鈕,:祝:
🈹,:Japanese_discount_button:,Japanese discount button,日本折扣按鈕,:割:
🎎,:Japanese_dolls:,Japanese dolls,日本娃娃,:日本人形:
🈷️,:Japanese_monthly_amount_button:,Japanese monthly amount button,日本每月金額按鈕,:月:
🈵,:Japanese_no_vacancy_button:,Japanese no vacancy button,日本沒有空缺按鈕,:满:
🈶,:Japanese_not_free_of_charge_button:,Japanese not free of charge button,日語不是免費按鈕,:有:
🈺,:Japanese_open_for_business_button:,Japanese open for business button,日本打開業務按鈕,:营:
🈴,:Japanese_passing_grade_button:,Japanese passing grade button,日本及格按鈕,:合:
🈲,:Japanese_prohibited_button:,Japanese prohibited button,日本禁止按鈕,:禁:
㊙️,:Japanese_secret_button:,Japanese secret button,日本秘密按鈕,:秘:
♌,:Leo:,Leo,獅子座,:狮子座:
🇲🇾,:Malaysia:,Malaysia,馬來西亞,:马来西亚:
🆕,:NEW_button:,NEW button,新按鈕,:new按钮:
🇳🇱,:Netherlands:,Netherlands,荷蘭,:荷兰:
👌,:OK_hand:,OK hand,好的手,:OK:
👌🏿,:OK_hand_dark_skin_tone:,OK hand dark skin tone,OK手深膚色,:OK_较深肤色:
👌🏻,:OK_hand_light_skin_tone:,OK hand light skin tone,OK手淺膚色,:OK_较浅肤色:
👌🏾,:OK_hand_medium-dark_skin_tone:,OK hand medium-dark skin tone,OK 手 中深膚色,:OK_中等深肤色:
👌🏼,:OK_hand_medium-light_skin_tone:,OK hand medium-light skin tone,OK手中淺膚色,:OK_中等浅肤色:
🅿️,:P_button:,P button,P鍵,:停车按钮:
🇵🇭,:Philippines:,Philippines,菲律賓,:菲律宾:
♓,:Pisces:,Pisces,雙魚座,:双鱼座:
🔜,:SOON_arrow:,SOON arrow,很快箭頭,:SOON箭头:
🆘,:SOS_button:,SOS button,求救按鈕,:SOS按钮:
♐,:Sagittarius:,Sagittarius,射手座,:射手座:
🎅,:Santa_Claus:,Santa Claus,聖誕老人,:圣诞老人:
🎅🏻,:Santa_Claus_light_skin_tone:,Santa Claus light skin tone,聖誕老人淺膚色,:圣诞老人_较浅肤色:
🇰🇷,:South_Korea:,South Korea,韓國,:韩国:
🇸🇪,:Sweden:,Sweden,瑞典,:瑞典:
🦖,:T-Rex:,T-Rex,霸王龍,:霸王龙:
🔝,:TOP_arrow:,TOP arrow,頂部箭頭,:置顶:
🇹🇼,:Taiwan:,Taiwan,台灣,:台湾:
🇹🇭,:Thailand:,Thailand,泰國,:泰国:
🇬🇧,:United_Kingdom:,United Kingdom,英國,:英国:
🇺🇸,:United_States:,United States,美國,:美国:
🆚,:VS_button:,VS button,對戰按鈕,:VS按钮:
💤,:ZZZ:,ZZZ,ZZZ,:睡着:
🧮,:abacus:,abacus,算盤,:算盘:
🩹,:adhesive_bandage:,adhesive bandage,粘性繃帶,:创可贴:
🎟,:admission_tickets:,admission tickets,門票,:入场券:
✈️,:airplane:,airplane,飛機,:飞机:
⏰,:alarm_clock:,alarm clock,鬧鐘,:闹钟:
⚗️,:alembic:,alembic,蒸餾器,:蒸馏器:
⚗,:alembic:,alembic,蒸餾器,:蒸馏器:
👽,:alien:,alien,外星人,:外星人:
🚑,:ambulance:,ambulance,救護車,:救护车:
⚓,:anchor:,anchor,錨,:锚:
💢,:anger_symbol:,anger symbol,憤怒符號,:怒:
😠,:angry_face:,angry face,憤怒的臉,:生气:
👿,:angry_face_with_horns:,angry face with horns,有角的生氣臉,:生气的恶魔:
😧,:anguished_face:,anguished face,痛苦的臉,:极度痛苦:
🐜,:ant:,ant,螞蟻,:蚂蚁:
😰,:anxious_face_with_sweat:,anxious face with sweat,焦急的臉上滿是汗水,:冷汗:
🚛,:articulated_lorry:,articulated lorry,鉸接式貨車,:铰接式货车:
🎨,:artist_palette:,artist palette,藝術家調色板,:调色盘:
😲,:astonished_face:,astonished face,驚訝的臉,:震惊:
🛺,:auto_rickshaw:,auto rickshaw,自動人力車,:三轮摩托车:
🚗,:automobile:,automobile,汽車,:汽车:
🥑,:avocado:,avocado,牛油果,:鳄梨:
🪓,:axe:,axe,斧頭,:斧头:
👶,:baby:,baby,嬰兒,:小宝贝:
👼,:baby_angel:,baby angel,寶貝天使,:小天使:
👼🏻,:baby_angel_light_skin_tone:,baby angel light skin tone,小天使淺膚色,:小天使_较浅肤色:
🍼,:baby_bottle:,baby bottle,嬰兒奶瓶,:奶瓶:
🐤,:baby_chick:,baby chick,小雞,:小鸡:
👶🏻,:baby_light_skin_tone:,baby light skin tone,嬰兒淺膚色,:小宝贝_较浅肤色:
👶🏾,:baby_medium-dark_skin_tone:,baby medium-dark skin tone,嬰兒中等-深膚色,:小宝贝_中等深肤色:
👶🏼,:baby_medium-light_skin_tone:,baby medium-light skin tone,嬰兒中淺膚色,:小宝贝_中等浅肤色:
👇,:backhand_index_pointing_down:,backhand index pointing down,反手指數向下,:反手食指向下指:
👇🏿,:backhand_index_pointing_down_dark_skin_tone:,backhand index pointing down dark skin tone,反手食指朝下深色膚色,:反手食指向下指_较深肤色:
👇🏻,:backhand_index_pointing_down_light_skin_tone:,backhand index pointing down light skin tone,反手指數指向下淺膚色,:反手食指向下指_较浅肤色:
👇🏼,:backhand_index_pointing_down_medium-light_skin_tone:,backhand index pointing down medium-light skin tone,反手食指朝下 中淺膚色,:反手食指向下指_中等浅肤色:
👈,:backhand_index_pointing_left:,backhand index pointing left,反手食指向左,:反手食指向左指:
👈🏻,:backhand_index_pointing_left_light_skin_tone:,backhand index pointing left light skin tone,反手食指指向左側淺膚色,:反手食指向左指_较浅肤色:
👈🏼,:backhand_index_pointing_left_medium-light_skin_tone:,backhand index pointing left medium-light skin tone,反手食指指向左側中淺膚色,:反手食指向左指_中等浅肤色:
👉,:backhand_index_pointing_right:,backhand index pointing right,反手指數指向右,:反手食指向右指:
👉🏻,:backhand_index_pointing_right_light_skin_tone:,backhand index pointing right light skin tone,反手食指指向右側淺膚色,:反手食指向右指_较浅肤色:
